src_subject_id,STATE,COUNTY,CensusTractFIPS,LOCATION,AREA_SQMI,BlkGrpID,_merge_key,CensusTractFIPS_x,CensusTractFIPS_short,CensusTractFIPS_y,site,site_state,site_state_name
NDAR_INVRUVAZC2F,ARIZONA,Maricopa,4013816900.0,"Census Tract 8169, Maricopa County, Arizona",9.429805053,40138169001.0,4013816900.0-7.0-0.0709,,,,,,
NDAR_INV65V1Z314,ARKANSAS,Pope,5115951200.0,"Census Tract 9512, Pope County, Arkansas",84.77557212,51159512003.0,5115951200.0-5.667-0.0596,,,,,,
NDAR_INV1T61M03G,CALIFORNIA,Alameda,6001427600.0,"Census Tract 4276, Alameda County, California",0.22504457,60014276001.0,6001427600.0-15.667-17.2189,,,,,,
NDAR_INV8AWV40W3,CALIFORNIA,Alameda,6001441302.0,"Census Tract 4413.02, Alameda County, California",0.770144918,60014413022.0,6001441302.0-14.833-6.1036,,,,,,
NDAR_INV75VFMGNT,CALIFORNIA,Alameda,6001441501.0,"Census Tract 4415.01, Alameda County, California",1.013511186,60014415011.0,6001441501.0-8.5-5.0631,,,,,,
NDAR_INV0LDK94T8,CALIFORNIA,Alameda,6001441800.0,"Census Tract 4418, Alameda County, California",0.787129931,60014418003.0,6001441800.0-14.667-4.8301,,,,,,
NDAR_INVVKCT9VLF,CALIFORNIA,Alameda,6001441800.0,"Census Tract 4418, Alameda County, California",0.787129931,60014418002.0,6001441800.0-16.167-4.5487,,,,,,
NDAR_INVCLPZV4DJ,CALIFORNIA,Alameda,6001442100.0,"Census Tract 4421, Alameda County, California",0.709211073,60014421001.0,6001442100.0-15.333-3.1009,,,,,,
NDAR_INV66LWGDCB,CALIFORNIA,Alameda,6001442200.0,"Census Tract 4422, Alameda County, California",1.625780927,60014422004.0,6001442200.0-13.167-0.9433,,,,,,
NDAR_INV4UJ4B7YT,CALIFORNIA,Alameda,6001443103.0,"Census Tract 4431.03, Alameda County, California",5.993625053,60014431031.0,6001443103.0-12.167-0.1648,,,,,,
NDAR_INVM7175YDC,CALIFORNIA,Alameda,6001443105.0,"Census Tract 4431.05, Alameda County, California",1.270053571,60014431052.0,6001443105.0-14.667-2.0613,,,,,,
NDAR_INVY0RYBAK1,CALIFORNIA,Alameda,6001443105.0,"Census Tract 4431.05, Alameda County, California",1.270053571,60014431051.0,6001443105.0-11.5-1.5173,,,,,,
NDAR_INVRDW5PE65,CALIFORNIA,Contra Costa,6013306003.0,"Census Tract 3060.03, Contra Costa County, California",0.692124129,60133060031.0,6013306003.0-10.667-4.064,,,,,,
NDAR_INVPNJ3GVUY,CALIFORNIA,Contra Costa,6013340002.0,"Census Tract 3400.02, Contra Costa County, California",2.56556362,60133400025.0,6013340002.0-8.5-0.8554,,,,,,
NDAR_INVA2ZPZTJJ,CALIFORNIA,Contra Costa,6013352102.0,"Census Tract 3521.02, Contra Costa County, California",9.038872145,60133521022.0,6013352102.0-5.5-2.2431,,,,,,
NDAR_INV7MB6N322,CALIFORNIA,Fresno,6019003500.0,"Census Tract 35, Fresno County, California",1.001914613,60190035002.0,6019003500.0-11.333-3.3714,,,,,,
NDAR_INVFCVZ66WZ,CALIFORNIA,Fresno,6019005202.0,"Census Tract 52.02, Fresno County, California",1.071626873,60190052022.0,6019005202.0-8.0-4.7515,,,,,,
NDAR_INVK1G99WM7,CALIFORNIA,Kern,6029001902.0,"Census Tract 19.02, Kern County, California",0.660641372,60290019021.0,6029001902.0-16.667-6.4501,,,,,,
NDAR_INVR9A6L5EN,CALIFORNIA,Kern,6029003812.0,"Census Tract 38.12, Kern County, California",1.786178509,60290038122.0,6029003812.0-11.833-3.9849,,,,,,
NDAR_INVY0YM6R2T,CALIFORNIA,Los Angeles,6037101210.0,"Census Tract 1012.10, Los Angeles County, California",0.25123271,60371012101.0,6037101210.0-15.667-13.2757,,,,,,
NDAR_INVTDU8UBTD,CALIFORNIA,Los Angeles,6037104310.0,"Census Tract 1043.10, Los Angeles County, California",0.582482358,60371043103.0,6037104310.0-13.333-2.5427,,,,,,
NDAR_INVCCL8MNW4,CALIFORNIA,Los Angeles,6037106113.0,"Census Tract 1061.13, Los Angeles County, California",0.557323951,60371061131.0,6037106113.0-17.0-2.0783,,,,,,
NDAR_INVRXX916ZV,CALIFORNIA,Los Angeles,6037106407.0,"Census Tract 1064.07, Los Angeles County, California",0.089628174,60371064072.0,6037106407.0-15.0-9.5036,,,,,,
NDAR_INVYYA36DVL,CALIFORNIA,Los Angeles,6037106520.0,"Census Tract 1065.20, Los Angeles County, California",0.851695452,60371065203.0,6037106520.0-14.833-3.78,,,,,,
NDAR_INVCL18941F,CALIFORNIA,Los Angeles,6037106604.0,"Census Tract 1066.04, Los Angeles County, California",1.008329697,60371066042.0,6037106604.0-14.333-4.0302,,,,,,
NDAR_INVLLUDJYK1,CALIFORNIA,Los Angeles,6037106642.0,"Census Tract 1066.42, Los Angeles County, California",0.609112199,60371066421.0,6037106642.0-13.167-2.2707,,,,,,
NDAR_INVTEB0VDTW,CALIFORNIA,Los Angeles,6037106642.0,"Census Tract 1066.42, Los Angeles County, California",0.609112199,60371066421.0,6037106642.0-13.167-2.2707,,,,,,
NDAR_INV1F6MVGKL,CALIFORNIA,Los Angeles,6037106643.0,"Census Tract 1066.43, Los Angeles County, California",1.675273798,60371066431.0,6037106643.0-7.667-1.754,,,,,,
NDAR_INV5LM4TFDU,CALIFORNIA,Los Angeles,6037106645.0,"Census Tract 1066.45, Los Angeles County, California",0.976039601,60371066452.0,6037106645.0-13.167-2.2528,,,,,,
NDAR_INVCBLVCZDM,CALIFORNIA,Los Angeles,6037106645.0,"Census Tract 1066.45, Los Angeles County, California",0.976039601,60371066452.0,6037106645.0-13.167-2.2528,,,,,,
NDAR_INV7H5MK7FM,CALIFORNIA,Los Angeles,6037106646.0,"Census Tract 1066.46, Los Angeles County, California",0.569968792,60371066461.0,6037106646.0-15.5-3.0072,,,,,,
NDAR_INVUULNDK83,CALIFORNIA,Los Angeles,6037106648.0,"Census Tract 1066.48, Los Angeles County, California",0.306151859,60371066481.0,6037106648.0-13.0-4.3199,,,,,,
NDAR_INVL3B6LC0Z,CALIFORNIA,Los Angeles,6037108201.0,"Census Tract 1082.01, Los Angeles County, California",1.083055106,60371082011.0,6037108201.0-7.833-4.8484,,,,,,
NDAR_INVPATWUAVA,CALIFORNIA,Los Angeles,6037108201.0,"Census Tract 1082.01, Los Angeles County, California",1.083055106,60371082012.0,6037108201.0-9.667-2.869,,,,,,
NDAR_INVPF4052KB,CALIFORNIA,Los Angeles,6037109601.0,"Census Tract 1096.01, Los Angeles County, California",0.855066122,60371096011.0,6037109601.0-14.167-3.0895,,,,,,
NDAR_INV13AC41PB,CALIFORNIA,Los Angeles,6037109604.0,"Census Tract 1096.04, Los Angeles County, California",0.453621587,60371096043.0,6037109604.0-15.5-3.3698,,,,,,
NDAR_INV3VFZ2UCE,CALIFORNIA,Los Angeles,6037109604.0,"Census Tract 1096.04, Los Angeles County, California",0.453621587,60371096043.0,6037109604.0-15.5-3.3698,,,,,,
NDAR_INV8FPU6BRJ,CALIFORNIA,Los Angeles,6037109700.0,"Census Tract 1097, Los Angeles County, California",0.612690206,60371097002.0,6037109700.0-14.333-4.4378,,,,,,
NDAR_INV824JDLTM,CALIFORNIA,Los Angeles,6037111202.0,"Census Tract 1112.02, Los Angeles County, California",0.720733515,60371112023.0,6037111202.0-15.5-5.1044,,,,,,
NDAR_INVRMEME8GY,CALIFORNIA,Los Angeles,6037111204.0,"Census Tract 1112.04, Los Angeles County, California",1.272084468,60371112041.0,6037111204.0-15.167-2.2147,,,,,,
NDAR_INVTY5H5PHZ,CALIFORNIA,Los Angeles,6037111204.0,"Census Tract 1112.04, Los Angeles County, California",1.272084468,60371112041.0,6037111204.0-15.167-2.2147,,,,,,
NDAR_INVVVTZFFUA,CALIFORNIA,Los Angeles,6037111204.0,"Census Tract 1112.04, Los Angeles County, California",1.272084468,60371112042.0,6037111204.0-13.333-3.4336,,,,,,
NDAR_INVUX1XKDLN,CALIFORNIA,Los Angeles,6037111205.0,"Census Tract 1112.05, Los Angeles County, California",0.440665549,60371112053.0,6037111205.0-8.333-6.2302,,,,,,
NDAR_INV2ZJXDTEL,CALIFORNIA,Los Angeles,6037111206.0,"Census Tract 1112.06, Los Angeles County, California",1.008188384,60371112061.0,6037111206.0-5.333-2.0275,,,,,,
NDAR_INVZLD0PANU,CALIFORNIA,Los Angeles,6037111301.0,"Census Tract 1113.01, Los Angeles County, California",0.772724465,60371113014.0,6037111301.0-14.333-8.9288,,,,,,
NDAR_INVABT9X85F,CALIFORNIA,Los Angeles,6037111400.0,"Census Tract 1114, Los Angeles County, California",0.699628407,60371114001.0,6037111400.0-16.0-3.6916,,,,,,
NDAR_INVW5G7CGVG,CALIFORNIA,Los Angeles,6037111400.0,"Census Tract 1114, Los Angeles County, California",0.699628407,60371114003.0,6037111400.0-10.833-23.4278,,,,,,
NDAR_INVTAV7MB4T,CALIFORNIA,Los Angeles,6037113231.0,"Census Tract 1132.31, Los Angeles County, California",1.591135608,60371132312.0,6037113231.0-13.333-1.5412,,,,,,
NDAR_INVDHRF3CYT,CALIFORNIA,Los Angeles,6037113232.0,"Census Tract 1132.32, Los Angeles County, California",0.797618392,60371132321.0,6037113232.0-11.167-2.8287,,,,,,
NDAR_INVBG59D5MV,CALIFORNIA,Los Angeles,6037113235.0,"Census Tract 1132.35, Los Angeles County, California",0.553533588,60371132351.0,6037113235.0-7.833-2.1696,,,,,,
NDAR_INVXN1RT0M9,CALIFORNIA,Los Angeles,6037113235.0,"Census Tract 1132.35, Los Angeles County, California",0.553533588,60371132351.0,6037113235.0-7.833-2.1696,,,,,,
NDAR_INV5N8A69PF,CALIFORNIA,Los Angeles,6037113301.0,"Census Tract 1133.01, Los Angeles County, California",0.870901324,60371133011.0,6037113301.0-13.167-1.9457,,,,,,
NDAR_INV1CTLWW8V,CALIFORNIA,Los Angeles,6037113303.0,"Census Tract 1133.03, Los Angeles County, California",1.578213547,60371133032.0,6037113303.0-15.667-0.7572,,,,,,
NDAR_INVAR03WFKR,CALIFORNIA,Los Angeles,6037113303.0,"Census Tract 1133.03, Los Angeles County, California",1.578213547,60371133032.0,6037113303.0-15.667-0.7572,,,,,,
NDAR_INVAV50Y5VX,CALIFORNIA,Los Angeles,6037113303.0,"Census Tract 1133.03, Los Angeles County, California",1.578213547,60371133032.0,6037113303.0-15.667-0.7572,,,,,,
NDAR_INVC94L2H0F,CALIFORNIA,Los Angeles,6037113321.0,"Census Tract 1133.21, Los Angeles County, California",0.404775437,60371133212.0,6037113321.0-15.667-5.6852,,,,,,
NDAR_INVZZ0348LF,CALIFORNIA,Los Angeles,6037113421.0,"Census Tract 1134.21, Los Angeles County, California",0.848190804,60371134212.0,6037113421.0-12.5-1.6785,,,,,,
NDAR_INVBM6WMFTA,CALIFORNIA,Los Angeles,6037113422.0,"Census Tract 1134.22, Los Angeles County, California",0.587851878,60371134222.0,6037113422.0-11.5-33.0764,,,,,,
NDAR_INVPWWHBBJV,CALIFORNIA,Los Angeles,6037113422.0,"Census Tract 1134.22, Los Angeles County, California",0.587851878,60371134222.0,6037113422.0-11.5-33.0764,,,,,,
NDAR_INVPFNN111R,CALIFORNIA,Los Angeles,6037115104.0,"Census Tract 1151.04, Los Angeles County, California",0.393890063,60371151041.0,6037115104.0-13.833-2.1659,,,,,,
NDAR_INVA05T670W,CALIFORNIA,Los Angeles,6037115202.0,"Census Tract 1152.02, Los Angeles County, California",0.670858017,60371152022.0,6037115202.0-14.5-3.3871,,,,,,
NDAR_INVL9WJ58CN,CALIFORNIA,Los Angeles,6037115202.0,"Census Tract 1152.02, Los Angeles County, California",0.670858017,60371152021.0,6037115202.0-15.5-5.9303,,,,,,
NDAR_INVN5XU9AVH,CALIFORNIA,Los Angeles,6037115202.0,"Census Tract 1152.02, Los Angeles County, California",0.670858017,60371152021.0,6037115202.0-15.5-5.9303,,,,,,
NDAR_INV88JX7RKX,CALIFORNIA,Los Angeles,6037115301.0,"Census Tract 1153.01, Los Angeles County, California",0.626174432,60371153011.0,6037115301.0-15.333-2.8098,,,,,,
NDAR_INV9XHNUHUZ,CALIFORNIA,Los Angeles,6037115301.0,"Census Tract 1153.01, Los Angeles County, California",0.626174432,60371153012.0,6037115301.0-15.833-5.4958,,,,,,
NDAR_INVTAY698CJ,CALIFORNIA,Los Angeles,6037115301.0,"Census Tract 1153.01, Los Angeles County, California",0.626174432,60371153011.0,6037115301.0-15.333-2.8098,,,,,,
NDAR_INVU7ARUX6H,CALIFORNIA,Los Angeles,6037115301.0,"Census Tract 1153.01, Los Angeles County, California",0.626174432,60371153011.0,6037115301.0-15.333-2.8098,,,,,,
NDAR_INVEWHRTRC2,CALIFORNIA,Los Angeles,6037115302.0,"Census Tract 1153.02, Los Angeles County, California",0.321616402,60371153021.0,6037115302.0-15.5-4.9509,,,,,,
NDAR_INVG4HBU1Y0,CALIFORNIA,Los Angeles,6037115302.0,"Census Tract 1153.02, Los Angeles County, California",0.321616402,60371153021.0,6037115302.0-15.5-4.9509,,,,,,
NDAR_INVAM8K670H,CALIFORNIA,Los Angeles,6037115401.0,"Census Tract 1154.01, Los Angeles County, California",0.735586472,60371154012.0,6037115401.0-13.5-4.9658,,,,,,
NDAR_INVH679EZ0Z,CALIFORNIA,Los Angeles,6037115401.0,"Census Tract 1154.01, Los Angeles County, California",0.735586472,60371154012.0,6037115401.0-13.5-4.9658,,,,,,
