src_subject_id,eventname,reshist_addr1_adi_edu_l,reshist_addr1_adi_edu_h,reshist_addr1_adi_work_c,reshist_addr1_adi_income,reshist_addr1_adi_in_dis,reshist_addr1_adi_home_v,reshist_addr1_adi_rent,reshist_addr1_adi_mortg,reshist_addr1_adi_home_o,reshist_addr1_adi_crowd,reshist_addr1_adi_unemp,reshist_addr1_adi_pov,reshist_addr1_adi_b138,reshist_addr1_adi_sp,reshist_addr1_adi_ncar,reshist_addr1_adi_ntel,reshist_addr1_adi_nplumb,reshist_addr1_adi_wsum,reshist_addr1_adi_perc,reshist_addr2_adi_edu_l,reshist_addr2_adi_edu_h,reshist_addr2_adi_work_c,reshist_addr2_adi_income,reshist_addr2_adi_in_dis,reshist_addr2_adi_home_v,reshist_addr2_adi_rent,reshist_addr2_adi_mortg,reshist_addr2_adi_home_o,reshist_addr2_adi_crowd,reshist_addr2_adi_unemp,reshist_addr2_adi_pov,reshist_addr2_adi_b138,reshist_addr2_adi_sp,reshist_addr2_adi_ncar,reshist_addr2_adi_ntel,reshist_addr2_adi_nplumb,reshist_addr2_adi_wsum,reshist_addr2_adi_perc,reshist_addr3_adi_edu_l,reshist_addr3_adi_edu_h,reshist_addr3_adi_work_c,reshist_addr3_adi_income,reshist_addr3_adi_in_dis,reshist_addr3_adi_home_v,reshist_addr3_adi_rent,reshist_addr3_adi_mortg,reshist_addr3_adi_home_o,reshist_addr3_adi_crowd,reshist_addr3_adi_unemp,reshist_addr3_adi_pov,reshist_addr3_adi_b138,reshist_addr3_adi_sp,reshist_addr3_adi_ncar,reshist_addr3_adi_ntel,reshist_addr3_adi_nplumb,reshist_addr3_adi_wsum,reshist_addr3_adi_perc
NDAR_INV005V6D2C,baseline_year_1_arm_1,4.861931,87.37314,95.0195,45609,2.9463396,271100,995,1804,16.29029,2.440678,9.991899,17.770597,27.568094,29.07916,14.237288,1.9661016,0,97.75763,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV007W6H7B,baseline_year_1_arm_1,3.5597112,94.81628,99.60899,129961,3.567694,897800,1605,1534,26.772322,2.930622,6.2542953,3.6653388,33.2687,0,78.11005,4.8145933,0.75127447,27.144264,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00BD7VDC,baseline_year_1_arm_1,0.63583815,96.58959,97.06238,84150,1.3448572,149600,845,1165,73.89431,0,3.4201322,1.2048193,6.977778,5.863454,7.9864473,0,0,104.1378,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00CY2MDM,baseline_year_1_arm_1,2.1968853,93.04783,92.36878,63977,2.714429,108100,713,1028,61.082424,2.6903973,7.4760385,6.0629315,12.87053,15.349195,13.741722,1.2003311,0,110.804726,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00NPMHND,baseline_year_1_arm_1,0.61239195,94.5245,94.13694,81602,0.5389965,272400,1100,1463,83.93555,3.215434,3.6349268,3.3766234,5.4888506,13.073593,0.57877815,0.96463025,0,92.81106,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00R4TXET,baseline_year_1_arm_1,3.1114328,93.08972,97.476494,87917,1.7865101,277300,1135,1575,73.38393,0,7.0804596,3.7394452,17.741032,11.700845,8.669755,0.7279947,0,91.48801,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00HEV6HB,baseline_year_1_arm_1,5.2020807,78.27131,90.60945,57225,2.4589312,147000,949,1170,62.19332,3.2183907,13.826366,11.656442,30.21327,19.018404,11.800766,2.605364,0,107.99982,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00J52GPG,baseline_year_1_arm_1,2.4940212,92.48377,95.965416,64236,1.9757409,213500,1294,1264,63.870476,0,5.3390493,9.427208,18.494898,14.319809,8.264462,0.68060285,0,100.717094,37,0.911271,94.796165,93.03136,75378,0.8811994,246900,1061,1337,73.38157,0.9948097,7.947256,5.043132,12.630382,18.712675,6.0121107,0.51903117,0,96.07873,29,,,,,,,,,,,,,,,,,,,
NDAR_INV00LH735Y,baseline_year_1_arm_1,7.4323187,82.22633,95.73671,78125,3.0463424,257400,1586,1697,88.97543,2.729211,4.432505,10.437881,16.368835,5.193483,6.9509597,1.2366738,0.638213,94.62372,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INV00LJVZK2,baseline_year_1_arm_1,3.3074934,90.387596,96.259964,46346,4.8920755,146600,735,414,26.86257,0.7079646,13.10602,25.112108,49.572144,29.820627,17.522123,2.418879,0,109.60787,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
